Block Configuration: 16x32 (512 threads per block)
========================================
Size\tSteps\tTime(s)\tGFLOPs\tBandwidth(GB/s)
----------------------------------------
100	100	0.0091	0.74	5.28
100	1000	0.0476	1.41	10.08
100	10000	0.5133	1.31	9.35
100	100000	4.1840	1.61	11.47
1000	100	0.1010	6.90	47.51
1000	1000	0.2354	29.61	203.88
1000	10000	1.5922	43.79	301.47
1000	100000	15.0600	46.29	318.72
2000	100	0.4088	6.84	46.96
2000	1000	1.0741	26.02	178.75
2000	10000	7.5390	37.07	254.68
2000	100000	72.3418	38.63	265.41
