Block Configuration: 32x16 (512 threads per block)
========================================
Size\tSteps\tTime(s)\tGFLOPs\tBandwidth(GB/s)
----------------------------------------
100	100	0.0091	0.74	5.25
100	1000	0.0481	1.40	9.97
100	10000	0.4624	1.45	10.38
100	100000	4.3250	1.55	11.10
1000	100	0.1031	6.76	46.55
1000	1000	0.2825	24.68	169.92
1000	10000	2.1140	32.98	227.06
1000	100000	20.8951	33.37	229.72
2000	100	0.4228	6.61	45.41
2000	1000	1.2183	22.94	157.59
2000	10000	9.1835	30.43	209.07
2000	100000	88.9657	31.41	215.81
