Block Configuration: 32x32 (1024 threads per block)
========================================
Size\tSteps\tTime(s)\tGFLOPs\tBandwidth(GB/s)
----------------------------------------
100	100	0.0091	0.74	5.26
100	1000	0.0515	1.31	9.33
100	10000	0.4603	1.46	10.43
100	100000	4.5667	1.47	10.51
1000	100	0.1146	6.09	41.90
1000	1000	0.3326	20.96	144.31
1000	10000	2.5390	27.46	189.05
1000	100000	24.5233	28.43	195.73
2000	100	0.4568	6.12	42.03
2000	1000	1.4681	19.03	130.78
2000	10000	11.8340	23.61	162.24
2000	100000	115.3344	24.23	166.47
