Block Configuration: 16x16 (256 threads per block)
========================================
Size\tSteps\tTime(s)\tGFLOPs\tBandwidth(GB/s)
----------------------------------------
100	100	0.0086	0.78	5.57
100	1000	0.0452	1.49	10.62
100	10000	0.4078	1.65	11.77
100	100000	4.3378	1.55	11.07
1000	100	0.0994	7.01	48.27
1000	1000	0.2340	29.80	205.14
1000	10000	1.5792	44.15	303.95
1000	100000	15.3032	45.56	313.66
2000	100	0.4121	6.78	46.59
2000	1000	1.0675	26.18	179.86
2000	10000	7.5635	36.95	253.85
2000	100000	72.3722	38.61	265.30
