1 thread
Size\Steps,100,1000,10000,100000
100,0.00881,0.047397,0.386818,3.758724
1000,0.554327,5.54789,44.098018,421.486616
2000,2.024914,21.447685,213.180625,1720.610279

2 threads
Size\Steps,100,1000,10000,100000
100,0.006483,0.027803,0.221472,2.112255
1000,0.379648,2.971062,23.276285,221.287712
2000,1.300633,11.382764,111.071086,899.102334

4 threads
Size\Steps,100,1000,10000,100000
100,0.005422,0.017191,0.132584,1.262522
1000,0.65976,1.717147,14.749349,143.794512
2000,0.988586,6.684892,63.467426,571.275435

8 threads
Size\Steps,100,1000,10000,100000
100,0.008961,0.054954,0.45131,4.43764
1000,0.469139,1.924762,16.051737,155.591913
2000,1.003281,7.124408,69.821385,596.543442

16 threads
Size\Steps,100,1000,10000,100000
100,0.013281,0.086785,0.933077,9.477881
1000,0.321049,2.734467,21.651587,205.811733
2000,1.182775,9.297281,90.663532,779.597529
